codici_specialita,codici_ospedale,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,capacita_max
spec_64,res_01012001,"26,00","20,00","28,00","8,00","21,00","0,00","0,00","237,00"
spec_64,res_01012002,"6,00","5,00","5,00","5,00","6,00","0,00","0,00","65,00"
spec_64,res_01000902,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_64,res_01012401,"5,00","7,00","6,00","5,00","4,00","0,00","0,00","52,00"
spec_64,res_01000901,"11,00","11,00","12,00","14,00","11,00","2,00","3,00","160,00"
spec_64,res_01000700,"2,00","1,00","2,00","2,00","2,00","2,00","2,00","8,00"
spec_64,res_01090501,"21,00","18,00","26,00","20,00","19,00","2,00","2,00","211,00"
spec_64,res_01090701,"4,00","8,00","5,00","5,00","4,00","3,00","3,00","21,00"
spec_64,res_01001100,"15,00","18,00","9,00","6,00","17,00","0,00","0,00","112,00"
spec_64,res_01089200,"31,00","23,00","20,00","14,00","23,00","4,00","4,00","220,00"
spec_64,res_01001700,"8,00","15,00","9,00","7,00","14,00","0,00","0,00","235,00"
spec_64,res_01003003,"4,00","4,00","2,00","1,00","0,00","0,00","0,00","6,00"
spec_64,res_01002301,"25,00","19,00","12,00","10,00","15,00","2,00","2,00","175,00"
spec_64,res_01003001,"19,00","10,00","5,00","4,00","4,00","0,00","0,00","94,00"
spec_64,res_01000601,"11,00","10,00","8,00","8,00","8,00","0,00","0,00","94,00"
spec_64,res_01012602,"12,00","6,00","7,00","4,00","6,00","0,00","0,00","65,00"
spec_11,res_01090702,"9,00","15,00","9,00","15,00","7,00","3,00","3,00","89,00"
spec_11,res_01090501,"6,00","6,00","6,00","4,00","6,00","1,00","2,00","9,00"
spec_11,res_01090302,"6,00","5,00","5,00","4,00","3,00","4,00","3,00","16,00"
spec_34,res_01089700,"2,00","0,00","3,00","0,00","0,00","0,00","0,00","3,00"
spec_34,res_01000801,"2,00","2,00","2,00","6,00","2,00","1,00","2,00","11,00"
spec_34,res_01090400,"1,00","2,00","2,00","1,00","0,00","0,00","0,00","3,00"
spec_34,res_01090600,"18,00","20,00","25,00","20,00","19,00","2,00","2,00","33,00"
spec_34,res_01001000,"62,00","47,00","65,00","61,00","61,00","8,00","5,00","78,00"
spec_34,res_01090800,"8,00","1,00","4,00","12,00","1,00","0,00","0,00","12,00"
spec_34,res_01001200,"6,00","6,00","7,00","7,00","10,00","0,00","0,00","10,00"
spec_34,res_01061200,"6,00","7,00","2,00","3,00","14,00","0,00","0,00","14,00"
spec_34,res_01002603,"6,00","5,00","7,00","5,00","7,00","0,00","0,00","35,00"
spec_34,res_01002601,"14,00","10,00","15,00","8,00","8,00","1,00","1,00","19,00"
spec_34,res_01064300,"0,00","0,00","0,00","0,00","1,00","0,00","0,00","1,00"
spec_34,res_01000503,"15,00","5,00","9,00","0,00","0,00","0,00","0,00","15,00"
spec_34,res_01064900,"2,00","8,00","9,00","1,00","9,00","0,00","0,00","9,00"
spec_34,res_01000300,"7,00","9,00","9,00","9,00","9,00","1,00","1,00","10,00"
spec_34,res_01002604,"0,00","0,00","0,00","1,00","0,00","0,00","0,00","1,00"
spec_34,res_01000501,"1,00","1,00","1,00","1,00","2,00","1,00","1,00","3,00"
spec_34,res_01062800,"5,00","0,00","0,00","1,00","4,00","0,00","2,00","5,00"
spec_34,res_01090502,"3,00","4,00","3,00","3,00","6,00","2,00","1,00","6,00"
spec_34,res_01062600,"7,00","0,00","1,00","4,00","0,00","0,00","0,00","7,00"
spec_34,res_01008500,"8,00","8,00","6,00","7,00","5,00","1,00","1,00","9,00"
spec_34,res_01012001,"11,00","1,00","11,00","3,00","3,00","1,00","1,00","12,00"
spec_34,res_01063200,"1,00","3,00","1,00","3,00","1,00","0,00","0,00","3,00"
spec_34,res_01012402,"2,00","7,00","1,00","6,00","1,00","1,00","0,00","9,00"
spec_34,res_01065500,"0,00","9,00","9,00","10,00","3,00","0,00","0,00","10,00"
spec_34,res_01000901,"1,00","2,00","2,00","1,00","1,00","1,00","0,00","2,00"
spec_34,res_01012401,"7,00","0,00","0,00","0,00","0,00","0,00","0,00","7,00"
spec_34,res_01090701,"8,00","10,00","9,00","2,00","11,00","0,00","1,00","12,00"
spec_34,res_01089200,"9,00","9,00","9,00","9,00","9,00","1,00","0,00","11,00"
spec_34,res_01001901,"2,00","1,00","2,00","1,00","2,00","1,00","1,00","5,00"
spec_34,res_01061100,"23,00","13,00","16,00","15,00","13,00","0,00","1,00","23,00"
spec_34,res_01002301,"10,00","8,00","7,00","7,00","4,00","1,00","1,00","11,00"
spec_34,res_01000602,"8,00","6,00","9,00","6,00","2,00","1,00","0,00","9,00"
spec_34,res_01003001,"2,00","2,00","3,00","3,00","3,00","1,00","0,00","5,00"
spec_34,res_01012601,"12,00","3,00","9,00","9,00","2,00","1,00","1,00","14,00"
spec_34,res_01000601,"0,00","0,00","1,00","0,00","0,00","0,00","0,00","1,00"
spec_34,res_01064200,"9,00","19,00","18,00","0,00","26,00","23,00","0,00","26,00"
spec_35,res_01002601,"8,00","1,00","2,00","1,00","0,00","0,00","0,00","8,00"
spec_35,res_01000503,"0,00","0,00","0,00","4,00","12,00","10,00","0,00","12,00"
spec_35,res_01090400,"2,00","1,00","2,00","2,00","2,00","0,00","0,00","3,00"
spec_35,res_01090600,"8,00","4,00","8,00","5,00","9,00","2,00","2,00","18,00"
spec_35,res_01000300,"3,00","4,00","5,00","4,00","5,00","0,00","0,00","5,00"
spec_35,res_01090800,"9,00","5,00","8,00","5,00","5,00","0,00","0,00","9,00"
