codici_comune,spec_01,spec_03,spec_82,spec_05,spec_51,spec_07,spec_06,spec_08,spec_09,spec_10,spec_11,spec_12,spec_13,spec_14,spec_81,spec_02,spec_99,spec_52,spec_97,spec_17,spec_85,spec_79,spec_80,spec_18,spec_54,spec_55,spec_57,spec_58,spec_21,spec_47,spec_46,spec_20,spec_98,spec_60,spec_19,spec_24,spec_25,spec_26,spec_27,spec_61,spec_15,spec_41,spec_29,spec_48,spec_77,spec_62,spec_30,spec_76,spec_32,spec_33,spec_75,spec_31,spec_34,spec_35,spec_66,spec_65,spec_64,spec_36,spec_37,spec_38,spec_39,spec_67,spec_68,spec_40,spec_91,spec_69,spec_70,spec_74,spec_56,spec_22,spec_71,spec_49,spec_73,spec_42,spec_50,spec_28,spec_43,spec_78,spec_04
3106,,,,,,res_01062800-res_01090501-,,res_01062800-res_01090501-,res_01062800-res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,,res_01090501-,,res_01090501-,,,,,,res_01090501-,,,,res_01090501-,,,,,,,res_01090501-,res_01090501-,,res_01062800-res_01090501-,,,,,res_01090501-,,,res_01090501-,res_01062800-res_01090501-,,res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01062800-,,,,res_01090501-,res_01062800-res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,res_01090501-,,,res_01090501-,,res_01090501-,,,res_01090501-,res_01090501-,,res_01090501-,res_01090501-,res_01090501-,,
3157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01092100-,,,,,,,,,,,,,,,,,,res_01092100-,,,,,,,,,,
1292,,,,,,,,res_01007905-,res_01007905-,,,,,,,res_01007905-,,,,,,,,,,,,,,,,,,res_01007905-,,,,res_01007905-,,,,,,,,,,,,,,,,,,,,res_01007905-,,,,,,res_01007905-,,,,,,,,res_01007905-,,,res_01007905-,,res_01007905-,,
1013,,,,,,,,,,,,,,,,,res_01007903-,,,,,,,,,,,,,,,,,,,,,res_01007903-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01007903-,,
4089,,,,,,,,,,,,,,,,,res_01002701-,,,,,,,,,,,,,,,,,res_01002701-,,,,res_01002701-,,,,,,,,,,,,,res_01002701-,,,,,,,,,,,,,,,,,,res_01002701-,,,,,,,,,,
4185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01063300-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01063300-,,,,,,,,,,
103072,,,,,,,,res_01000502-,res_01000502-,,,,,,,,res_01000502-,,,,,,,,,,,,,,,,,,,res_01000502-,,res_01000502-,,,,,res_01000502-,,,res_01000502-,,,res_01000502-,,,res_01000502-,,,,,res_01000502-,res_01000502-,res_01000502-,res_01000502-,res_01000502-,,,res_01000502-,,,,,,,,res_01000502-,,,res_01000502-,,res_01000502-,,
103028,,,,,,,,res_01000501-,res_01000501-,,,,,res_01000501-,,,res_01000501-,,,,,,,,,,,,,,,,,,,res_01000501-,,res_01000501-,,,,,res_01000501-,,,,,,res_01000501-,,,,res_01000501-,,,,res_01000501-,res_01000501-,res_01000501-,res_01000501-,,res_01000501-,,,,,,,res_01000501-,,,res_01000501-,,,res_01000501-,,res_01000501-,,
1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01064800-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,res_01064800-,,,,,,,,,,
3008,,,,,,,,,res_01000602-,,,,,,,,,,,,,,,,,,,,,,,,,res_01063000-,,,,res_01063000-res_01000602-,,,,,,,,,,,,,,,res_01000602-,,,,,res_01000602-,res_01000602-,,,res_01000602-,,,,,,,res_01000602-,,,res_01000602-,,,,,res_01000602-,,
